UT,Altitude,OrbitalSpeed,TrueAnom,EccAnomaly,MeanAnomaly,TrueLong
10266363.18,4289387.354,129665.874,171.881,171.705,171.527,262.040
10266363.34,4289451.074,129665.656,171.911,171.736,171.559,262.071
10266363.50,4289514.552,129665.438,171.942,171.767,171.591,262.102
10266363.66,4289577.787,129665.221,171.973,171.799,171.623,262.133
10266363.82,4289640.780,129665.004,172.004,171.830,171.655,262.163
10266364.00,4289711.358,129664.762,172.038,171.866,171.691,262.198
10266364.14,4289766.039,129664.574,172.065,171.893,171.719,262.225
10266364.30,4289828.305,129664.361,172.096,171.924,171.751,262.256
10266364.48,4289898.064,129664.121,172.130,171.960,171.787,262.290
10266364.66,4289967.516,129663.883,172.165,171.995,171.823,262.325
10266364.82,4290028.994,129663.672,172.196,172.026,171.855,262.355
10266364.98,4290090.229,129663.461,172.226,172.058,171.887,262.386
10266365.14,4290151.222,129663.252,172.257,172.089,171.920,262.417
10266365.32,4290219.549,129663.018,172.292,172.125,171.956,262.451
10266365.48,4290280.026,129662.810,172.322,172.156,171.988,262.482
10266365.64,4290340.261,129662.603,172.353,172.187,172.020,262.513
10266365.82,4290407.735,129662.371,172.388,172.223,172.056,262.548
10266365.98,4290467.454,129662.166,172.419,172.254,172.088,262.578
10266366.14,4290526.931,129661.962,172.449,172.285,172.120,262.609
10266366.32,4290593.552,129661.734,172.484,172.321,172.156,262.643
10266366.48,4290652.513,129661.531,172.515,172.352,172.188,262.674
10266366.66,4290718.554,129661.304,172.549,172.388,172.224,262.709
10266366.82,4290776.999,129661.104,172.580,172.419,172.256,262.740
10266366.98,4290835.201,129660.904,172.611,172.450,172.288,262.770
10266367.18,4290907.613,129660.655,172.649,172.490,172.328,262.809
10266367.34,4290965.269,129660.457,172.680,172.521,172.360,262.840
10266367.50,4291022.682,129660.260,172.711,172.552,172.393,262.870
10266367.64,4291072.720,129660.089,172.737,172.580,172.421,262.897
10266367.82,4291136.781,129659.869,172.772,172.615,172.457,262.932
10266367.98,4291193.466,129659.674,172.803,172.647,172.489,262.963
10266368.10,4291235.821,129659.529,172.826,172.670,172.513,262.986
10266368.22,4291278.038,129659.384,172.849,172.694,172.537,263.009
10266368.40,4291341.109,129659.167,172.883,172.729,172.573,263.043
10266368.58,4291403.872,129658.952,172.918,172.764,172.609,263.078
10266368.74,4291459.404,129658.761,172.949,172.796,172.641,263.109
10266368.90,4291514.692,129658.571,172.979,172.827,172.673,263.139
10266369.08,4291576.601,129658.359,173.014,172.862,172.709,263.174
10266369.24,4291631.374,129658.170,173.045,172.894,172.741,263.204
10266369.42,4291692.702,129657.960,173.079,172.929,172.777,263.239
10266369.58,4291746.958,129657.774,173.110,172.961,172.809,263.270
10266369.76,4291807.706,129657.565,173.145,172.996,172.846,263.304
10266369.92,4291861.446,129657.381,173.175,173.027,172.878,263.335
10266370.10,4291921.612,129657.174,173.210,173.063,172.914,263.370
10266370.26,4291974.835,129656.991,173.241,173.094,172.946,263.401
10266370.44,4292034.421,129656.787,173.275,173.129,172.982,263.435
10266370.62,4292093.699,129656.583,173.310,173.165,173.018,263.470
10266370.78,4292146.132,129656.403,173.341,173.196,173.050,263.500
10266370.94,4292198.322,129656.224,173.371,173.227,173.082,263.531
10266371.14,4292263.218,129656.001,173.410,173.267,173.122,263.570
10266371.30,4292314.861,129655.824,173.441,173.298,173.154,263.600
10266371.46,4292366.261,129655.647,173.471,173.330,173.186,263.631
10266371.64,4292423.796,129655.450,173.506,173.365,173.222,263.665
10266371.82,4292481.022,129655.253,173.540,173.400,173.258,263.700
10266371.98,4292531.632,129655.079,173.571,173.432,173.290,263.731
10266372.14,4292581.998,129654.906,173.602,173.463,173.323,263.762
10266372.28,4292625.869,129654.756,173.629,173.490,173.351,263.788
10266372.46,4292682.002,129654.563,173.663,173.526,173.387,263.823
10266372.62,4292731.638,129654.392,173.694,173.557,173.419,263.854
10266372.78,4292781.032,129654.223,173.725,173.589,173.451,263.885
10266372.96,4292836.309,129654.033,173.759,173.624,173.487,263.919
10266373.12,4292885.185,129653.865,173.790,173.655,173.519,263.950
10266373.30,4292939.881,129653.677,173.825,173.691,173.555,263.985
10266373.46,4292988.240,129653.511,173.855,173.722,173.587,264.015
10266373.64,4293042.354,129653.325,173.890,173.757,173.623,264.050
10266373.78,4293084.229,129653.181,173.917,173.785,173.651,264.077
10266373.94,4293131.859,129653.018,173.948,173.816,173.683,264.107
